municipality,year,personas_inscritas_en_la_municipalidad_en_busca_de_empleo
CURACAUTÍN,2016,241
ERCILLA,2016,678
LONQUIMAY,2016,1208
LOS SAUCES,2016,500
LUMACO,2016,340
PURÉN,2016,1050
RENAICO,2016,503
TRAIGUÉN,2016,1022
VICTORIA,2016,698
TEMUCO,2015,4499
CARAHUE,2015,1100
CUNCO,2015,1200
CURARREHUE,2015,258
FREIRE,2015,775
GALVARINO,2015,317
GORBEA,2015,806
LAUTARO,2015,2121
LONCOCHE,2015,553
MELIPEUCO,2015,353
NUEVA IMPERIAL,2015,1074
PADRE LAS CASAS,2015,1880
PERQUENCO,2015,564
PITRUFQUÉN,2015,225
PUCÓN,2015,893
SAAVEDRA,2015,518
TEODORO SCHMIDT,2015,541
TOLTÉN,2015,700
VILCÚN,2015,774
VILLARRICA,2015,1305
CHOLCHOL,2015,300
ANGOL,2015,3718
COLLIPULLI,2015,891
CURACAUTÍN,2015,658
ERCILLA,2015,267
LONQUIMAY,2015,1847
LOS SAUCES,2015,700
LUMACO,2015,336
PURÉN,2015,2348
RENAICO,2015,534
TRAIGUÉN,2015,589
VICTORIA,2015,895
TEMUCO,2014,4130
CARAHUE,2014,228
CUNCO,2014,1026
CURARREHUE,2014,411
FREIRE,2014,2385
GALVARINO,2014,600
GORBEA,2014,1003
LAUTARO,2014,1400
LONCOCHE,2014,625
MELIPEUCO,2014,122
NUEVA IMPERIAL,2014,2169
PADRE LAS CASAS,2014,1493
PERQUENCO,2014,468
PITRUFQUÉN,2014,390
PUCÓN,2014,856
TEODORO SCHMIDT,2014,423
TOLTÉN,2014,500
VILCÚN,2014,866
VILLARRICA,2014,1024
CHOLCHOL,2014,156
ANGOL,2014,4588
COLLIPULLI,2014,921
CURACAUTÍN,2014,493
ERCILLA,2014,638
LONQUIMAY,2014,1435
LOS SAUCES,2014,752
LUMACO,2014,340
PURÉN,2014,333
RENAICO,2014,752
TRAIGUÉN,2014,598
VICTORIA,2014,255
TEMUCO,2013,4140
CUNCO,2013,984
CURARREHUE,2013,443
FREIRE,2013,496
GALVARINO,2013,2178
GORBEA,2013,458
LONCOCHE,2013,2229
MELIPEUCO,2013,502
NUEVA IMPERIAL,2013,8831
PADRE LAS CASAS,2013,2300
PERQUENCO,2013,240
PITRUFQUÉN,2013,5350
PUCÓN,2013,784
SAAVEDRA,2013,213
TEODORO SCHMIDT,2013,601
TOLTÉN,2013,2025
VILCÚN,2013,689
VILLARRICA,2013,1030
CHOLCHOL,2013,317
ANGOL,2013,3500
COLLIPULLI,2013,977
CURACAUTÍN,2013,605
ERCILLA,2013,696
LONQUIMAY,2013,1385
LOS SAUCES,2013,858
LUMACO,2013,670
PURÉN,2013,418
RENAICO,2013,415
TRAIGUÉN,2013,739
VICTORIA,2013,937
TEMUCO,2012,4680
CARAHUE,2012,238
CUNCO,2012,1453
CURARREHUE,2012,527
FREIRE,2012,3357
GALVARINO,2012,1989
GORBEA,2012,534
LAUTARO,2012,978
LONCOCHE,2012,771
NUEVA IMPERIAL,2012,993
PADRE LAS CASAS,2012,2434
PERQUENCO,2012,291
PITRUFQUÉN,2012,4947
PUCÓN,2012,845
SAAVEDRA,2012,550
TEODORO SCHMIDT,2012,353
TOLTÉN,2012,713
VILCÚN,2012,548
VILLARRICA,2012,1320
ANGOL,2012,1830
COLLIPULLI,2012,1024
CURACAUTÍN,2012,648
LONQUIMAY,2012,529
LOS SAUCES,2012,88
LUMACO,2012,460
PURÉN,2012,120
RENAICO,2012,316
TRAIGUÉN,2012,254
VICTORIA,2012,700
TEMUCO,2011,3307
CARAHUE,2011,523
CUNCO,2011,1200
CURARREHUE,2011,579
FREIRE,2011,547
GALVARINO,2011,379
GORBEA,2011,529
LAUTARO,2011,1548
LONCOCHE,2011,770
MELIPEUCO,2011,245
NUEVA IMPERIAL,2011,961
PADRE LAS CASAS,2011,1100
PERQUENCO,2011,352
PITRUFQUÉN,2011,4399
PUCÓN,2011,1248
SAAVEDRA,2011,529
TEODORO SCHMIDT,2011,563
TOLTÉN,2011,1072
VILCÚN,2011,548
VILLARRICA,2011,1417
CHOLCHOL,2011,440
ANGOL,2011,1369
COLLIPULLI,2011,963
CURACAUTÍN,2011,814
ERCILLA,2011,468
LONQUIMAY,2011,1400
LOS SAUCES,2011,360
PURÉN,2011,537
