cod_com,comuna,agno,grado,prom_lect8b_com,prom_mate8b_com,dif_lect8b_com,dif_mate8b_com,sigdif_lect8b_com,sigdif_mate8b_com
9106,GALVARINO,2017,8b,229,228,-9,1,No significativa,No significativa
9107,GORBEA,2017,8b,228,230,-12,-14,Negativa y significativa,Negativa y significativa
9108,LAUTARO,2017,8b,234,239,-2,-5,No significativa,No significativa
9109,LONCOCHE,2017,8b,245,252,-12,-6,Negativa y significativa,No significativa
9205,LONQUIMAY,2017,8b,222,216,-2,-9,No significativa,No significativa
9206,LOS SAUCES,2017,8b,238,237,2,1,No significativa,No significativa
9207,LUMACO,2017,8b,235,226,11,2,Positiva y significativa,No significativa
9110,MELIPEUCO,2017,8b,243,227,-7,-20,No significativa,Negativa y significativa
9111,NUEVA IMPERIAL,2017,8b,237,243,3,0,No significativa,No significativa
9112,PADRE LAS CASAS,2017,8b,239,248,2,0,No significativa,No significativa
9113,PERQUENCO,2017,8b,221,227,3,0,No significativa,No significativa
9114,PITRUFQUÉN,2017,8b,246,255,1,-2,No significativa,No significativa
9115,PUCÓN,2017,8b,250,262,0,-3,No significativa,No significativa
9208,PURÉN,2017,8b,230,241,-10,-10,No significativa,Negativa y significativa
9209,RENAICO,2017,8b,234,232,13,-6,Positiva y significativa,No significativa
9116,SAAVEDRA,2017,8b,229,223,1,-3,No significativa,No significativa
9101,TEMUCO,2017,8b,248,265,1,-4,No significativa,No significativa
9117,TEODORO SCHMIDT,2017,8b,231,223,4,-4,No significativa,No significativa
9118,TOLTÉN,2017,8b,239,236,3,-6,No significativa,No significativa
9210,TRAIGUÉN,2017,8b,243,250,-4,-1,No significativa,No significativa
9211,VICTORIA,2017,8b,239,245,10,1,Positiva y significativa,No significativa
9119,VILCÚN,2017,8b,238,242,-4,-9,No significativa,Negativa y significativa
9120,VILLARRICA,2017,8b,249,256,-3,-7,No significativa,Negativa y significativa
9101,Temuco,2019,8b,245,268,-3,3,0,0
9102,Carahue,2019,8b,233,243,2,9,0,1
9103,Cunco,2019,8b,237,242,2,4,0,0
9104,Curarrehue,2019,8b,234,234,-6,8,0,0
9105,Freire,2019,8b,234,238,0,9,0,1
9106,Galvarino,2019,8b,223,227,-6,-1,0,0
9210,Traiguén,2019,8b,239,250,-4,0,0,0
9211,Victoria,2019,8b,234,241,-5,-4,0,0
9204,Ercilla,2019,8b,210,219,-22,-1,-1,0
9205,Lonquimay,2019,8b,216,222,-6,6,0,0
9206,Los Sauces,2019,8b,236,237,-2,0,0,0
9207,Lumaco,2019,8b,213,212,-22,-14,-1,-1
9208,Purén,2019,8b,227,243,-3,2,0,0
9209,Renaico,2019,8b,234,248,0,16,0,1
9119,Vilcún,2019,8b,233,245,-5,3,0,0
9120,Villarrica,2019,8b,246,261,-3,5,0,0
9121,Cholchol,2019,8b,231,232,7,10,0,1
9201,Angol,2019,8b,243,264,-6,0,0,0
9202,Collipulli,2019,8b,234,241,-1,7,0,0
9203,Curacautín,2019,8b,229,235,3,7,0,0
9113,Perquenco,2019,8b,225,243,4,16,0,1
9114,Pitrufquén,2019,8b,243,262,-3,7,0,0
9115,Pucón,2019,8b,250,267,0,5,0,0
9116,Saavedra,2019,8b,232,236,3,13,0,1
9117,Teodoro Schmidt,2019,8b,223,230,-8,7,0,0
9118,Toltén,2019,8b,245,251,6,15,0,1
9107,Gorbea,2019,8b,235,247,7,17,0,1
9108,Lautaro,2019,8b,229,242,-5,3,0,0
9109,Loncoche,2019,8b,250,266,5,14,0,1
9110,Melipeuco,2019,8b,239,236,-4,9,0,0
9111,Nueva Imperial,2019,8b,231,247,-6,4,0,0
9112,Padre las Casas,2019,8b,235,249,-4,1,0,0
