municipality,year,subsidios_de_agua_potable_sap_otorgados_por_la_comuna_a_zonas_urbanas
MELIPEUCO,2015,0
NUEVA IMPERIAL,2015,1546
PADRE LAS CASAS,2015,1208
PERQUENCO,2015,0
PITRUFQUÉN,2015,1600
PUCÓN,2015,571
SAAVEDRA,2015,445
TEODORO SCHMIDT,2015,0
TOLTÉN,2015,98
VILCÚN,2015,253
VILLARRICA,2015,649
CHOLCHOL,2015,103
ANGOL,2015,5172
COLLIPULLI,2015,639
CURACAUTÍN,2015,2229
ERCILLA,2015,1997
LONQUIMAY,2015,641
LOS SAUCES,2015,245
LUMACO,2015,167
PURÉN,2015,424
RENAICO,2015,1314
TRAIGUÉN,2015,534
VICTORIA,2015,900
TEMUCO,2014,4753
CARAHUE,2014,1580
CUNCO,2014,982
CURARREHUE,2014,0
FREIRE,2014,744
GALVARINO,2014,71
GORBEA,2014,626
LAUTARO,2014,1252
LONCOCHE,2014,1559
MELIPEUCO,2014,0
NUEVA IMPERIAL,2014,1551
PADRE LAS CASAS,2014,717
PERQUENCO,2014,0
PITRUFQUÉN,2014,1602
PUCÓN,2014,1598
SAAVEDRA,2014,246
TEODORO SCHMIDT,2014,0
TOLTÉN,2014,217
VILCÚN,2014,1193
VILLARRICA,2014,1947
CHOLCHOL,2014,147
ANGOL,2014,5189
COLLIPULLI,2014,705
CURACAUTÍN,2014,946
ERCILLA,2014,490
LONQUIMAY,2014,604
LOS SAUCES,2014,245
LUMACO,2014,322
PURÉN,2014,600
RENAICO,2014,500
TRAIGUÉN,2014,1390
VICTORIA,2014,1842
TEMUCO,2013,5941
CUNCO,2013,972
CURARREHUE,2013,0
FREIRE,2013,693
GALVARINO,2013,506
GORBEA,2013,486
LAUTARO,2013,559
LONCOCHE,2013,1544
MELIPEUCO,2013,460
NUEVA IMPERIAL,2013,1581
PADRE LAS CASAS,2013,629
PERQUENCO,2013,0
PITRUFQUÉN,2013,1582
PUCÓN,2013,608
SAAVEDRA,2013,105
TEODORO SCHMIDT,2013,0
TOLTÉN,2013,123
VILCÚN,2013,191
VILLARRICA,2013,1082
CHOLCHOL,2013,454
ANGOL,2013,6125
COLLIPULLI,2013,1483
CURACAUTÍN,2013,2225
ERCILLA,2013,490
LONQUIMAY,2013,584
LOS SAUCES,2013,682
LUMACO,2013,177
PURÉN,2013,1139
RENAICO,2013,1344
TRAIGUÉN,2013,650
VICTORIA,2013,969
TEMUCO,2012,3497
CARAHUE,2012,1607
CUNCO,2012,954
CURARREHUE,2012,0
FREIRE,2012,694
GALVARINO,2012,100
GORBEA,2012,435
LAUTARO,2012,2522
LONCOCHE,2012,1521
NUEVA IMPERIAL,2012,1624
PADRE LAS CASAS,2012,840
PERQUENCO,2012,0
PITRUFQUÉN,2012,1618
SAAVEDRA,2012,150
TEODORO SCHMIDT,2012,0
TOLTÉN,2012,428
VILCÚN,2012,1078
VILLARRICA,2012,861
ANGOL,2012,5175
COLLIPULLI,2012,687
CURACAUTÍN,2012,2197
LONQUIMAY,2012,595
LOS SAUCES,2012,67
LUMACO,2012,170
PURÉN,2012,1146
RENAICO,2012,355
TRAIGUÉN,2012,2145
VICTORIA,2012,894
TEMUCO,2011,4315
CARAHUE,2011,752
CUNCO,2011,950
FREIRE,2011,778
GALVARINO,2011,620
GORBEA,2011,1362
LAUTARO,2011,2482
LONCOCHE,2011,1506
MELIPEUCO,2011,0
NUEVA IMPERIAL,2011,1608
PADRE LAS CASAS,2011,1112
PERQUENCO,2011,268
PITRUFQUÉN,2011,1516
PUCÓN,2011,1700
SAAVEDRA,2011,311
TEODORO SCHMIDT,2011,0
TOLTÉN,2011,418
VILCÚN,2011,1078
VILLARRICA,2011,2373
CHOLCHOL,2011,392
ANGOL,2011,5335
COLLIPULLI,2011,652
CURACAUTÍN,2011,2248
ERCILLA,2011,245
LONQUIMAY,2011,605
LOS SAUCES,2011,289
PURÉN,2011,1146
TRAIGUÉN,2011,1797
VICTORIA,2011,1915
TEMUCO,2010,6211
CARAHUE,2010,802
CUNCO,2010,950
CURARREHUE,2010,0
FREIRE,2010,758
GALVARINO,2010,420
GORBEA,2010,439
LAUTARO,2010,2468
LONCOCHE,2010,1449
NUEVA IMPERIAL,2010,1604
PADRE LAS CASAS,2010,619
PERQUENCO,2010,386
PITRUFQUÉN,2010,1499
PUCÓN,2010,670
SAAVEDRA,2010,460
TEODORO SCHMIDT,2010,0
TOLTÉN,2010,428
VILCÚN,2010,13332
VILLARRICA,2010,1878
CHOLCHOL,2010,330
ANGOL,2010,1721
COLLIPULLI,2010,1659
CURACAUTÍN,2010,2217
ERCILLA,2010,173
LONQUIMAY,2010,154
LOS SAUCES,2010,330
LUMACO,2010,14
PURÉN,2010,1111
RENAICO,2010,1390
