cod_com,comuna,agno,grado,prom_nat2m_com,dif_nat2m_com,sigdif_nat2m_com
9111,NUEVA IMPERIAL,2016,2m,223,-8,No significativa
11302,O'HIGGINS,2016,2m,NA,NA,NA
6111,OLIVAR,2016,2m,239,1,No significativa
2202,OLLAGÜE,2016,2m,NA,NA,NA
5803,OLMUÉ,2016,2m,215,-9,No significativa
10301,OSORNO,2016,2m,244,-6,No significativa
4301,OVALLE,2016,2m,240,-6,No significativa
13604,PADRE HURTADO,2016,2m,231,-10,Negativa y significativa
9112,PADRE LAS CASAS,2016,2m,231,-2,No significativa
4105,PAIGUANO,2016,2m,225,0,No significativa
14107,PAILLACO,2016,2m,229,5,No significativa
13404,PAINE,2016,2m,236,-4,No significativa
10404,PALENA,2016,2m,237,-10,No significativa
6306,PALMILLA,2016,2m,214,-4,No significativa
14108,PANGUIPULLI,2016,2m,230,-1,No significativa
5704,PANQUEHUE,2016,2m,251,-14,No significativa
5403,PAPUDO,2016,2m,225,-9,No significativa
6206,PAREDONES,2016,2m,215,-1,No significativa
7404,PARRAL,2016,2m,251,-6,No significativa
13121,PEDRO AGUIRRE CERDA,2016,2m,234,-10,Negativa y significativa
7106,PELARCO,2016,2m,222,-3,No significativa
7203,PELLUHUE,2016,2m,211,-18,Negativa y significativa
8410,PEMUCO,2016,2m,214,-8,No significativa
7107,PENCAHUE,2016,2m,218,-2,No significativa
8107,PENCO,2016,2m,228,-22,Negativa y significativa
6307,PERALILLO,2016,2m,226,-4,No significativa
9113,PERQUENCO,2016,2m,213,-12,No significativa
5404,PETORCA,2016,2m,217,-7,No significativa
6112,PEUMO,2016,2m,215,-9,No significativa
13605,PEÑAFLOR,2016,2m,230,-5,No significativa
13122,PEÑALOLÉN,2016,2m,252,-6,No significativa
1405,PICA,2016,2m,203,0,No significativa
6113,PICHIDEGUA,2016,2m,214,-1,No significativa
6201,PICHILEMU,2016,2m,238,-10,No significativa
8411,PINTO,2016,2m,227,-3,No significativa
13202,PIRQUE,2016,2m,227,-6,No significativa
9114,PITRUFQUÉN,2016,2m,232,-8,No significativa
6308,PLACILLA,2016,2m,226,25,No significativa
8412,PORTEZUELO,2016,2m,228,2,No significativa
12301,PORVENIR,2016,2m,220,-12,No significativa
1401,POZO ALMONTE,2016,2m,208,-3,No significativa
12302,PRIMAVERA,2016,2m,NA,NA,NA
13123,PROVIDENCIA,2016,2m,280,-10,Negativa y significativa
5105,PUCHUNCAVÍ,2016,2m,213,-11,No significativa
9115,PUCÓN,2016,2m,233,-11,Negativa y significativa
13124,PUDAHUEL,2016,2m,229,-1,No significativa
13201,PUENTE ALTO,2016,2m,245,-4,No significativa
10101,PUERTO MONTT,2016,2m,238,-9,Negativa y significativa
10302,PUERTO OCTAY,2016,2m,216,2,No significativa
10109,PUERTO VARAS,2016,2m,248,-10,Negativa y significativa
6309,PUMANQUE,2016,2m,NA,NA,NA
4304,PUNITAQUI,2016,2m,236,-8,No significativa
12101,PUNTA ARENAS,2016,2m,240,-16,Negativa y significativa
10206,PUQUELDÓN,2016,2m,NA,NA,NA
10303,PURRANQUE,2016,2m,230,-18,Negativa y significativa
9208,PURÉN,2016,2m,233,-16,Negativa y significativa
5705,PUTAENDO,2016,2m,220,-21,Negativa y significativa
15201,PUTRE,2016,2m,209,-6,No significativa
10304,PUYEHUE,2016,2m,230,7,No significativa
10207,QUEILÉN,2016,2m,218,-9,No significativa
10208,QUELLÓN,2016,2m,226,-15,Negativa y significativa
10209,QUEMCHI,2016,2m,209,-14,No significativa
8308,QUILACO,2016,2m,237,19,No significativa
